Code,Status,CA_Months,Articles,Adjectives,Clitics,Subjunctive,Verb_Agr,Plurals
00206,0,74,100,75,80,80,80,20
00406,0,76,100,100,90,80,100,80
00506,0,73,100,100,100,90,100,100
00705,0,70,100,100,100,70,100,100
00806,0,76,100,100,90,90,100,80
00906,0,81,75,87.5,70,100,100,80
01006,0,81,100,100,60,100,100,80
01105,0,71,100,100,80,80,100,100
01206,0,80,100,100,100,90,100,80
01506,0,81,100,100,90,60,100,80
01606,0,75,100,100,90,90,100,80
01806,0,72,100,100,100,60,60,100
02004,0,51,100,100,70,80,20,80
02205,0,65,100,87.5,80,100,100,80
02304,0,54,87.5,87.5,100,60,60,100
02504,0,48,100,75,80,80,60,80
02905,0,71,100,100,100,50,80,80
03204,0,59,100,75,60,70,60,100
03506,0,72,100,100,80,90,40,80
04304,0,52,62.5,50,90,80,0,100
04706,0,79,100,100,100,90,40,100
04805,0,67,100,87.5,70,60,40,60
05005,0,67,100,87.5,90,80,60,100
05604,0,56,87.5,87.5,90,80,80,80
06004,0,53,62.5,62.5,50,50,20,60
00106,1,76,62.5,75,20,80,20,80
00306,1,75,100,100,40,60,100,80
00605,1,70,87.5,75,20,40,40,0
01305,1,74,75,75,30,40,0,60
01406,1,75,87.5,100,80,80,80,80
01904,1,52,50,50,30,60,0,100
01906,1,71,87.5,75,80,70,60,80
02404,1,56,28.6,42.9,0,0,20,40
02604,1,50,87.5,25,11.1,80,0,100
02704,1,58,50,50,40,20,0,40
03005,1,70,37.5,62.5,50,50,40,60
03105,1,64,100,100,10,70,20,100
03304,1,53,50,50,10,70,0,40
03405,1,64,100,87.5,70,70,60,80
03706,1,72,50,25,0,20,0,0
03805,1,66,62.5,62.5,40,50,40,100
03905,1,65,75,62.5,70,50,80,80
04204,1,56,50,50,40,40,60,0
04404,1,56,100,87.5,30,30,60,60
04505,1,65,100,87.5,80,50,40,80
04606,1,83,75,75,22.2,50,60,100
05105,1,70,62.5,75,10,50,60,60
05404,1,58,50,25,0,10,0,0
05505,1,66,62.5,75,0,50,0,80
06504,1,58,50,62.5,40,50,0,80
